Yıl,Ay,Şehir,Sınır Kapısı,Sınır Kapısı Tipi,Araç Tipi,Milliyet,Gelen Vatandaş Turist,Gelen Yabancı Turist,Günübirlikçi Vatandaş,Günübirlikçi Yabancı
2009,OCAK,Adana,Botaş (D),Deniz,Deniz,Azerbaycan,0,0,0,0
2009,OCAK,Adana,Botaş (D),Deniz,Deniz,Filipinler,0,30,0,0
2009,OCAK,Adana,Botaş (D),Deniz,Deniz,Hindistan,0,2,0,0
2009,OCAK,Adana,Botaş (D),Deniz,Deniz,İngiltere (Birleşik Krallık),0,4,0,0
2009,OCAK,Adana,Botaş (D),Deniz,Deniz,Japonya,0,1,0,0
2009,OCAK,Adana,Botaş (D),Deniz,Deniz,Malezya,0,0,0,0
2009,OCAK,Adana,Botaş (D),Deniz,Deniz,Polonya,0,1,0,0
2009,OCAK,Adana,Botaş (D),Deniz,Deniz,Romanya,0,0,0,0
2009,OCAK,Adana,Botaş (D),Deniz,Deniz,Rusya Fed.,0,24,0,0
2009,OCAK,Adana,Botaş (D),Deniz,Deniz,Türkiye,93,0,0,0
2009,OCAK,Adana,Botaş (D),Deniz,Deniz,Ukrayna,0,1,0,0
2009,OCAK,Adana,Botaş (D),Deniz,Deniz,Yunanistan,0,8,0,0
2009,OCAK,Adana,İncirlik (H),Hava,Hava,Almanya,0,2,0,0
2009,OCAK,Adana,İncirlik (H),Hava,Hava,Amerika Birleşik Devletleri,0,1829,0,0
2009,OCAK,Adana,İncirlik (H),Hava,Hava,Avustralya,0,0,0,0
2009,OCAK,Adana,İncirlik (H),Hava,Hava,Danimarka,0,2,0,0
2009,OCAK,Adana,İncirlik (H),Hava,Hava,Fransa,0,1,0,0
2009,OCAK,Adana,İncirlik (H),Hava,Hava,Guatemala,0,2,0,0
2009,OCAK,Adana,İncirlik (H),Hava,Hava,İngiltere (Birleşik Krallık),0,145,0,0
2009,OCAK,Adana,İncirlik (H),Hava,Hava,Japonya,0,1,0,0
2009,OCAK,Adana,İncirlik (H),Hava,Hava,Kolombiya,0,2,0,0
2009,OCAK,Adana,İncirlik (H),Hava,Hava,Meksika,0,1,0,0
2009,OCAK,Adana,İncirlik (H),Hava,Hava,Portekiz,0,1,0,0
2009,OCAK,Adana,İncirlik (H),Hava,Hava,Rusya Fed.,0,1,0,0
2009,OCAK,Adana,İncirlik (H),Hava,Hava,Türkiye,20,0,0,0
2009,OCAK,Adana,Şakirpaşa (H),Hava,Hava,Almanya,0,1459,0,0
2009,OCAK,Adana,Şakirpaşa (H),Hava,Hava,Amerika Birleşik Devletleri,0,20,0,0
2009,OCAK,Adana,Şakirpaşa (H),Hava,Hava,Arnavutluk,0,2,0,0
2009,OCAK,Adana,Şakirpaşa (H),Hava,Hava,Avustralya,0,2,0,0
2009,OCAK,Adana,Şakirpaşa (H),Hava,Hava,Avusturya,0,13,0,0
2009,OCAK,Adana,Şakirpaşa (H),Hava,Hava,Azerbaycan,0,6,0,0
