Yıl,Ay,Şehir,Sınır Kapısı,Sınır Kapısı Tipi,Araç Tipi,Milliyet,Gelen Vatandaş Turist,Gelen Yabancı Turist,Günübirlikçi Vatandaş,Günübirlikçi Yabancı
2008,OCAK,Adana,Botaş (D),Deniz,Deniz,Azerbaycan,0,0,0,0
2008,OCAK,Adana,Botaş (D),Deniz,Deniz,Bulgaristan,0,5,0,0
2008,OCAK,Adana,Botaş (D),Deniz,Deniz,Filipinler,0,31,0,0
2008,OCAK,Adana,Botaş (D),Deniz,Deniz,Gürcistan,0,1,0,0
2008,OCAK,Adana,Botaş (D),Deniz,Deniz,Hırvatistan,0,1,0,0
2008,OCAK,Adana,Botaş (D),Deniz,Deniz,Hindistan,0,8,0,0
2008,OCAK,Adana,Botaş (D),Deniz,Deniz,İran,0,3,0,0
2008,OCAK,Adana,Botaş (D),Deniz,Deniz,Letonya,0,1,0,0
2008,OCAK,Adana,Botaş (D),Deniz,Deniz,Polonya,0,2,0,0
2008,OCAK,Adana,Botaş (D),Deniz,Deniz,Romanya,0,0,0,0
2008,OCAK,Adana,Botaş (D),Deniz,Deniz,Türkiye,121,0,0,0
2008,OCAK,Adana,Botaş (D),Deniz,Deniz,Ukrayna,0,1,0,0
2008,OCAK,Adana,Botaş (D),Deniz,Deniz,Yunanistan,0,14,0,0
2008,OCAK,Adana,İncirlik (H),Hava,Hava,Amerika Birleşik Devletleri,0,2006,0,0
2008,OCAK,Adana,İncirlik (H),Hava,Hava,Çek Cumhuriyeti (Çekya),0,1,0,0
2008,OCAK,Adana,İncirlik (H),Hava,Hava,Filipinler,0,1,0,0
2008,OCAK,Adana,İncirlik (H),Hava,Hava,Fransa,0,0,0,0
2008,OCAK,Adana,İncirlik (H),Hava,Hava,Hollanda,0,26,0,0
2008,OCAK,Adana,İncirlik (H),Hava,Hava,İngiltere (Birleşik Krallık),0,125,0,0
2008,OCAK,Adana,İncirlik (H),Hava,Hava,İsveç,0,0,0,0
2008,OCAK,Adana,İncirlik (H),Hava,Hava,İsviçre,0,0,0,0
2008,OCAK,Adana,İncirlik (H),Hava,Hava,Japonya,0,1,0,0
2008,OCAK,Adana,İncirlik (H),Hava,Hava,Kırgızistan,0,0,0,0
2008,OCAK,Adana,İncirlik (H),Hava,Hava,Kolombiya,0,2,0,0
2008,OCAK,Adana,İncirlik (H),Hava,Hava,Norveç,0,0,0,0
2008,OCAK,Adana,İncirlik (H),Hava,Hava,Türkiye,0,0,0,0
2008,OCAK,Adana,Şakirpaşa (H),Hava,Hava,Afganistan,0,3,0,0
2008,OCAK,Adana,Şakirpaşa (H),Hava,Hava,Almanya,0,1584,0,0
2008,OCAK,Adana,Şakirpaşa (H),Hava,Hava,Amerika Birleşik Devletleri,0,260,0,0
2008,OCAK,Adana,Şakirpaşa (H),Hava,Hava,Arnavutluk,0,0,0,0
2008,OCAK,Adana,Şakirpaşa (H),Hava,Hava,Avustralya,0,21,0,0
2008,OCAK,Adana,Şakirpaşa (H),Hava,Hava,Avusturya,0,3,0,0
2008,OCAK,Adana,Şakirpaşa (H),Hava,Hava,Azerbaycan,0,45,0,0
2008,OCAK,Adana,Şakirpaşa (H),Hava,Hava,Belçika,0,43,0,0
2008,OCAK,Adana,Şakirpaşa (H),Hava,Hava,Beyaz Rusya (Belarus),0,1,0,0
2008,OCAK,Adana,Şakirpaşa (H),Hava,Hava,Bosna Hersek,0,1,0,0
2008,OCAK,Adana,Şakirpaşa (H),Hava,Hava,Bulgaristan,0,1,0,0
2008,OCAK,Adana,Şakirpaşa (H),Hava,Hava,Çek Cumhuriyeti (Çekya),0,1,0,0
2008,OCAK,Adana,Şakirpaşa (H),Hava,Hava,Danimarka,0,0,0,0
2008,OCAK,Adana,Şakirpaşa (H),Hava,Hava,Fas,0,1,0,0
2008,OCAK,Adana,Şakirpaşa (H),Hava,Hava,Filipinler,0,1,0,0
2008,OCAK,Adana,Şakirpaşa (H),Hava,Hava,Filistin,0,0,0,0
2008,OCAK,Adana,Şakirpaşa (H),Hava,Hava,Fransa,0,46,0,0
2008,OCAK,Adana,Şakirpaşa (H),Hava,Hava,Güney Afrika Cumhuriyeti,0,0,0,0
2008,OCAK,Adana,Şakirpaşa (H),Hava,Hava,Güney Kıbrıs Rum Kesimi,0,3,0,0
2008,OCAK,Adana,Şakirpaşa (H),Hava,Hava,Gürcistan,0,3,0,0
2008,OCAK,Adana,Şakirpaşa (H),Hava,Hava,Hindistan,0,2,0,0
2008,OCAK,Adana,Şakirpaşa (H),Hava,Hava,Hollanda,0,191,0,0
2008,OCAK,Adana,Şakirpaşa (H),Hava,Hava,Irak,0,43,0,0
2008,OCAK,Adana,Şakirpaşa (H),Hava,Hava,İngiltere (Birleşik Krallık),0,41,0,0
2008,OCAK,Adana,Şakirpaşa (H),Hava,Hava,İran,0,2,0,0
2008,OCAK,Adana,Şakirpaşa (H),Hava,Hava,İsveç,0,2,0,0
2008,OCAK,Adana,Şakirpaşa (H),Hava,Hava,İsviçre,0,2,0,0
2008,OCAK,Adana,Şakirpaşa (H),Hava,Hava,İtalya,0,5,0,0
2008,OCAK,Adana,Şakirpaşa (H),Hava,Hava,Kanada,0,2,0,0
2008,OCAK,Adana,Şakirpaşa (H),Hava,Hava,Kazakistan,0,64,0,0
2008,OCAK,Adana,Şakirpaşa (H),Hava,Hava,Kırgızistan,0,4,0,0
2008,OCAK,Adana,Şakirpaşa (H),Hava,Hava,Kuzey Kıbrıs Türk Cumhuriyeti,0,1125,0,0
2008,OCAK,Adana,Şakirpaşa (H),Hava,Hava,Kuzey Makedonya Cumhuriyeti,0,18,0,0
2008,OCAK,Adana,Şakirpaşa (H),Hava,Hava,Litvanya,0,0,0,0
2008,OCAK,Adana,Şakirpaşa (H),Hava,Hava,Lübnan,0,18,0,0
2008,OCAK,Adana,Şakirpaşa (H),Hava,Hava,Mısır,0,3,0,0
2008,OCAK,Adana,Şakirpaşa (H),Hava,Hava,Milliyetsiz (Haymatlos),0,8,0,0
2008,OCAK,Adana,Şakirpaşa (H),Hava,Hava,Moldova,0,3,0,0
2008,OCAK,Adana,Şakirpaşa (H),Hava,Hava,Norveç,0,0,0,0
2008,OCAK,Adana,Şakirpaşa (H),Hava,Hava,Özbekistan,0,0,0,0
2008,OCAK,Adana,Şakirpaşa (H),Hava,Hava,Pakistan,0,2,0,0
2008,OCAK,Adana,Şakirpaşa (H),Hava,Hava,Polonya,0,5,0,0
2008,OCAK,Adana,Şakirpaşa (H),Hava,Hava,Romanya,0,1,0,0
2008,OCAK,Adana,Şakirpaşa (H),Hava,Hava,Rusya Fed.,0,39,0,0
2008,OCAK,Adana,Şakirpaşa (H),Hava,Hava,Sırbistan,0,2,0,0
2008,OCAK,Adana,Şakirpaşa (H),Hava,Hava,Suriye,0,54,0,0
2008,OCAK,Adana,Şakirpaşa (H),Hava,Hava,Suudi Arabistan,0,6,0,0
2008,OCAK,Adana,Şakirpaşa (H),Hava,Hava,Şili,0,3,0,0
2008,OCAK,Adana,Şakirpaşa (H),Hava,Hava,Türkiye,23379,0,0,0
2008,OCAK,Adana,Şakirpaşa (H),Hava,Hava,Türkmenistan,0,9,0,0
2008,OCAK,Adana,Şakirpaşa (H),Hava,Hava,Ukrayna,0,24,0,0
2008,OCAK,Adana,Şakirpaşa (H),Hava,Hava,Ürdün,0,70,0,0
2008,OCAK,Adana,Şakirpaşa (H),Hava,Hava,Yemen,0,0,0,0
2008,OCAK,Adana,Şakirpaşa (H),Hava,Hava,Yunanistan,0,2,0,0
2008,OCAK,Ağrı,Gürbulak (K),Kara,Kara,Afganistan,0,22,0,0
2008,OCAK,Ağrı,Gürbulak (K),Kara,Kara,Almanya,0,4,0,0
2008,OCAK,Ağrı,Gürbulak (K),Kara,Kara,Arjantin,0,0,0,0
2008,OCAK,Ağrı,Gürbulak (K),Kara,Kara,Avusturya,0,0,0,0
2008,OCAK,Ağrı,Gürbulak (K),Kara,Kara,Azerbaycan,0,10,0,0
2008,OCAK,Ağrı,Gürbulak (K),Kara,Kara,Bulgaristan,0,32,0,0
2008,OCAK,Ağrı,Gürbulak (K),Kara,Kara,Çek Cumhuriyeti (Çekya),0,1,0,0
2008,OCAK,Ağrı,Gürbulak (K),Kara,Kara,Çin Halk Cumhuriyeti,0,1,0,0
2008,OCAK,Ağrı,Gürbulak (K),Kara,Kara,Finlandiya,0,1,0,0
2008,OCAK,Ağrı,Gürbulak (K),Kara,Kara,Fransa,0,2,0,0
2008,OCAK,Ağrı,Gürbulak (K),Kara,Kara,Güney Afrika Cumhuriyeti,0,3,0,0
2008,OCAK,Ağrı,Gürbulak (K),Kara,Kara,Güney Kore,0,4,0,0
2008,OCAK,Ağrı,Gürbulak (K),Kara,Kara,Gürcistan,0,7,0,0
2008,OCAK,Ağrı,Gürbulak (K),Kara,Kara,Hollanda,0,0,0,0
2008,OCAK,Ağrı,Gürbulak (K),Kara,Kara,Irak,0,0,0,0
2008,OCAK,Ağrı,Gürbulak (K),Kara,Kara,İngiltere (Birleşik Krallık),0,0,0,0
2008,OCAK,Ağrı,Gürbulak (K),Kara,Kara,İran,0,9420,0,0
2008,OCAK,Ağrı,Gürbulak (K),Kara,Kara,İsrail,0,0,0,0
2008,OCAK,Ağrı,Gürbulak (K),Kara,Kara,İsveç,0,0,0,0
2008,OCAK,Ağrı,Gürbulak (K),Kara,Kara,İsviçre,0,1,0,0
2008,OCAK,Ağrı,Gürbulak (K),Kara,Kara,İtalya,0,1,0,0
2008,OCAK,Ağrı,Gürbulak (K),Kara,Kara,Japonya,0,4,0,0
2008,OCAK,Ağrı,Gürbulak (K),Kara,Kara,Kazakistan,0,4,0,0
2008,OCAK,Ağrı,Gürbulak (K),Kara,Kara,Kırgızistan,0,9,0,0
2008,OCAK,Ağrı,Gürbulak (K),Kara,Kara,Kuzey Kıbrıs Türk Cumhuriyeti,0,1,0,0
2008,OCAK,Ağrı,Gürbulak (K),Kara,Kara,Litvanya,0,0,0,0
2008,OCAK,Ağrı,Gürbulak (K),Kara,Kara,Moldova,0,0,0,0
2008,OCAK,Ağrı,Gürbulak (K),Kara,Kara,Norveç,0,0,0,0
2008,OCAK,Ağrı,Gürbulak (K),Kara,Kara,Özbekistan,0,2,0,0
2008,OCAK,Ağrı,Gürbulak (K),Kara,Kara,Pakistan,0,14,0,0
2008,OCAK,Ağrı,Gürbulak (K),Kara,Kara,Polonya,0,1,0,0
2008,OCAK,Ağrı,Gürbulak (K),Kara,Kara,Portekiz,0,1,0,0
2008,OCAK,Ağrı,Gürbulak (K),Kara,Kara,Romanya,0,3,0,0
2008,OCAK,Ağrı,Gürbulak (K),Kara,Kara,Rusya Fed.,0,24,0,0
2008,OCAK,Ağrı,Gürbulak (K),Kara,Kara,Suriye,0,45,0,0
2008,OCAK,Ağrı,Gürbulak (K),Kara,Kara,Tacikistan,0,0,0,0
2008,OCAK,Ağrı,Gürbulak (K),Kara,Kara,Türkiye,6583,0,0,0
2008,OCAK,Ağrı,Gürbulak (K),Kara,Kara,Türkmenistan,0,23,0,0
2008,OCAK,Ağrı,Gürbulak (K),Kara,Kara,Ürdün,0,0,0,0
2008,OCAK,Ağrı,Gürbulak (K),Kara,Kara,Yunanistan,0,2,0,0
2008,OCAK,Ankara,Esenboğa (H),Hava,Hava,Afganistan,0,59,0,0
2008,OCAK,Ankara,Esenboğa (H),Hava,Hava,Almanya,0,5291,0,0
2008,OCAK,Ankara,Esenboğa (H),Hava,Hava,Amerika Birleşik Devletleri,0,829,0,0
2008,OCAK,Ankara,Esenboğa (H),Hava,Hava,Angola,0,5,0,0
2008,OCAK,Ankara,Esenboğa (H),Hava,Hava,Arjantin,0,2,0,0
2008,OCAK,Ankara,Esenboğa (H),Hava,Hava,Arnavutluk,0,3,0,0
2008,OCAK,Ankara,Esenboğa (H),Hava,Hava,Avustralya,0,107,0,0
2008,OCAK,Ankara,Esenboğa (H),Hava,Hava,Avusturya,0,1125,0,0
2008,OCAK,Ankara,Esenboğa (H),Hava,Hava,Azerbaycan,0,593,0,0
2008,OCAK,Ankara,Esenboğa (H),Hava,Hava,Bangladeş,0,1,0,0
2008,OCAK,Ankara,Esenboğa (H),Hava,Hava,Belçika,0,630,0,0
2008,OCAK,Ankara,Esenboğa (H),Hava,Hava,Belize,0,1,0,0
2008,OCAK,Ankara,Esenboğa (H),Hava,Hava,Beyaz Rusya (Belarus),0,24,0,0
2008,OCAK,Ankara,Esenboğa (H),Hava,Hava,Birleşmiş Milletler,0,56,0,0
2008,OCAK,Ankara,Esenboğa (H),Hava,Hava,Bosna Hersek,0,3,0,0
2008,OCAK,Ankara,Esenboğa (H),Hava,Hava,Brezilya,0,47,0,0
2008,OCAK,Ankara,Esenboğa (H),Hava,Hava,Bulgaristan,0,40,0,0
2008,OCAK,Ankara,Esenboğa (H),Hava,Hava,Cezayir,0,2,0,0
2008,OCAK,Ankara,Esenboğa (H),Hava,Hava,Çek Cumhuriyeti (Çekya),0,52,0,0
2008,OCAK,Ankara,Esenboğa (H),Hava,Hava,Çin Halk Cumhuriyeti,0,17,0,0
2008,OCAK,Ankara,Esenboğa (H),Hava,Hava,Danimarka,0,101,0,0
2008,OCAK,Ankara,Esenboğa (H),Hava,Hava,Endonezya,0,1,0,0
2008,OCAK,Ankara,Esenboğa (H),Hava,Hava,Ermenistan,0,1,0,0
2008,OCAK,Ankara,Esenboğa (H),Hava,Hava,Estonya,0,3,0,0
2008,OCAK,Ankara,Esenboğa (H),Hava,Hava,Fas,0,0,0,0
2008,OCAK,Ankara,Esenboğa (H),Hava,Hava,Filipinler,0,5,0,0
2008,OCAK,Ankara,Esenboğa (H),Hava,Hava,Finlandiya,0,61,0,0
2008,OCAK,Ankara,Esenboğa (H),Hava,Hava,Fransa,0,670,0,0
2008,OCAK,Ankara,Esenboğa (H),Hava,Hava,Gambiya,0,0,0,0
2008,OCAK,Ankara,Esenboğa (H),Hava,Hava,Gana,0,4,0,0
2008,OCAK,Ankara,Esenboğa (H),Hava,Hava,Gine,0,2,0,0
2008,OCAK,Ankara,Esenboğa (H),Hava,Hava,Güney Afrika Cumhuriyeti,0,5,0,0
2008,OCAK,Ankara,Esenboğa (H),Hava,Hava,Güney Kıbrıs Rum Kesimi,0,5,0,0
2008,OCAK,Ankara,Esenboğa (H),Hava,Hava,Güney Kore,0,14,0,0
2008,OCAK,Ankara,Esenboğa (H),Hava,Hava,Gürcistan,0,8,0,0
2008,OCAK,Ankara,Esenboğa (H),Hava,Hava,Hırvatistan,0,6,0,0
2008,OCAK,Ankara,Esenboğa (H),Hava,Hava,Hindistan,0,17,0,0
2008,OCAK,Ankara,Esenboğa (H),Hava,Hava,Hollanda,0,1246,0,0
2008,OCAK,Ankara,Esenboğa (H),Hava,Hava,Irak,0,29,0,0
2008,OCAK,Ankara,Esenboğa (H),Hava,Hava,İngiltere (Birleşik Krallık),0,612,0,0
2008,OCAK,Ankara,Esenboğa (H),Hava,Hava,İran,0,820,0,0
2008,OCAK,Ankara,Esenboğa (H),Hava,Hava,İrlanda,0,29,0,0
2008,OCAK,Ankara,Esenboğa (H),Hava,Hava,İspanya,0,149,0,0
2008,OCAK,Ankara,Esenboğa (H),Hava,Hava,İsrail,0,14,0,0
2008,OCAK,Ankara,Esenboğa (H),Hava,Hava,İsveç,0,239,0,0
2008,OCAK,Ankara,Esenboğa (H),Hava,Hava,İsviçre,0,82,0,0
2008,OCAK,Ankara,Esenboğa (H),Hava,Hava,İtalya,0,302,0,0
2008,OCAK,Ankara,Esenboğa (H),Hava,Hava,İzlanda,0,0,0,0
2008,OCAK,Ankara,Esenboğa (H),Hava,Hava,Jamaika,0,0,0,0
2008,OCAK,Ankara,Esenboğa (H),Hava,Hava,Japonya,0,616,0,0
2008,OCAK,Ankara,Esenboğa (H),Hava,Hava,Kamerun,0,1,0,0
2008,OCAK,Ankara,Esenboğa (H),Hava,Hava,Kanada,0,135,0,0
2008,OCAK,Ankara,Esenboğa (H),Hava,Hava,Katar,0,9,0,0
2008,OCAK,Ankara,Esenboğa (H),Hava,Hava,Kazakistan,0,21,0,0
2008,OCAK,Ankara,Esenboğa (H),Hava,Hava,Kenya,0,1,0,0
2008,OCAK,Ankara,Esenboğa (H),Hava,Hava,Kırgızistan,0,37,0,0
2008,OCAK,Ankara,Esenboğa (H),Hava,Hava,Kolombiya,0,7,0,0
2008,OCAK,Ankara,Esenboğa (H),Hava,Hava,Kosta Rika,0,2,0,0
2008,OCAK,Ankara,Esenboğa (H),Hava,Hava,Kuveyt,0,15,0,0
2008,OCAK,Ankara,Esenboğa (H),Hava,Hava,Kuzey Kıbrıs Türk Cumhuriyeti,0,1674,0,0
2008,OCAK,Ankara,Esenboğa (H),Hava,Hava,Kuzey Makedonya Cumhuriyeti,0,0,0,0
2008,OCAK,Ankara,Esenboğa (H),Hava,Hava,Letonya,0,9,0,0
2008,OCAK,Ankara,Esenboğa (H),Hava,Hava,Litvanya,0,8,0,0
2008,OCAK,Ankara,Esenboğa (H),Hava,Hava,Lübnan,0,10,0,0
2008,OCAK,Ankara,Esenboğa (H),Hava,Hava,Lüksemburg,0,4,0,0
2008,OCAK,Ankara,Esenboğa (H),Hava,Hava,Macaristan,0,51,0,0
2008,OCAK,Ankara,Esenboğa (H),Hava,Hava,Malezya,0,2,0,0
2008,OCAK,Ankara,Esenboğa (H),Hava,Hava,Malta,0,3,0,0
2008,OCAK,Ankara,Esenboğa (H),Hava,Hava,Meksika,0,1,0,0
2008,OCAK,Ankara,Esenboğa (H),Hava,Hava,Mısır,0,2,0,0
2008,OCAK,Ankara,Esenboğa (H),Hava,Hava,Milliyetsiz (Haymatlos),0,13,0,0
2008,OCAK,Ankara,Esenboğa (H),Hava,Hava,Moğolistan,0,15,0,0
2008,OCAK,Ankara,Esenboğa (H),Hava,Hava,Moldova,0,15,0,0
2008,OCAK,Ankara,Esenboğa (H),Hava,Hava,Namibya,0,2,0,0
2008,OCAK,Ankara,Esenboğa (H),Hava,Hava,Nijerya,0,8,0,0
