Yıl,Ay,Şehir,Sınır Kapısı,Sınır Kapısı Tipi,Araç Tipi,Milliyet,Gelen Vatandaş Turist,Gelen Yabancı Turist,Günübirlikçi Vatandaş,Günübirlikçi Yabancı
2004,OCAK,Adana,Botaş (D),Deniz,Deniz,Filipinler,0,4,0,0
2004,OCAK,Adana,Botaş (D),Deniz,Deniz,Güney Kore,0,2,0,0
2004,OCAK,Adana,Botaş (D),Deniz,Deniz,Hindistan,0,0,0,0
2004,OCAK,Adana,Botaş (D),Deniz,Deniz,Mısır,0,9,0,0
2004,OCAK,Adana,Botaş (D),Deniz,Deniz,Türkiye,189,0,0,0
2004,OCAK,Adana,Botaş (D),Deniz,Deniz,Yunanistan,0,6,0,0
2004,OCAK,Adana,İncirlik (H),Hava,Hava,Almanya,0,2,0,0
2004,OCAK,Adana,İncirlik (H),Hava,Hava,Amerika Birleşik Devletleri,0,1440,0,0
2004,OCAK,Adana,İncirlik (H),Hava,Hava,Filipinler,0,1,0,0
2004,OCAK,Adana,İncirlik (H),Hava,Hava,İngiltere (Birleşik Krallık),0,1,0,0
2004,OCAK,Adana,İncirlik (H),Hava,Hava,İspanya,0,0,0,0
2004,OCAK,Adana,İncirlik (H),Hava,Hava,Japonya,0,1,0,0
2004,OCAK,Adana,İncirlik (H),Hava,Hava,Türkiye,10,0,0,0
2004,OCAK,Adana,Şakirpaşa (H),Hava,Hava,Afganistan,0,1,0,0
2004,OCAK,Adana,Şakirpaşa (H),Hava,Hava,Almanya,0,2312,0,0
2004,OCAK,Adana,Şakirpaşa (H),Hava,Hava,Amerika Birleşik Devletleri,0,273,0,0
2004,OCAK,Adana,Şakirpaşa (H),Hava,Hava,Arnavutluk,0,50,0,0
2004,OCAK,Adana,Şakirpaşa (H),Hava,Hava,Avustralya,0,87,0,0
2004,OCAK,Adana,Şakirpaşa (H),Hava,Hava,Avusturya,0,0,0,0
2004,OCAK,Adana,Şakirpaşa (H),Hava,Hava,Azerbaycan,0,3,0,0
2004,OCAK,Adana,Şakirpaşa (H),Hava,Hava,Bahreyn,0,3,0,0
2004,OCAK,Adana,Şakirpaşa (H),Hava,Hava,Bangladeş,0,3,0,0
2004,OCAK,Adana,Şakirpaşa (H),Hava,Hava,Belçika,0,48,0,0
2004,OCAK,Adana,Şakirpaşa (H),Hava,Hava,Bosna Hersek,0,2,0,0
2004,OCAK,Adana,Şakirpaşa (H),Hava,Hava,Bulgaristan,0,10,0,0
2004,OCAK,Adana,Şakirpaşa (H),Hava,Hava,Cezayir,0,0,0,0
2004,OCAK,Adana,Şakirpaşa (H),Hava,Hava,Çek Cumhuriyeti (Çekya),0,14,0,0
2004,OCAK,Adana,Şakirpaşa (H),Hava,Hava,Çin Halk Cumhuriyeti,0,8,0,0
2004,OCAK,Adana,Şakirpaşa (H),Hava,Hava,Danimarka,0,10,0,0
2004,OCAK,Adana,Şakirpaşa (H),Hava,Hava,Ekvador,0,1,0,0
2004,OCAK,Adana,Şakirpaşa (H),Hava,Hava,Endonezya,0,3,0,0
2004,OCAK,Adana,Şakirpaşa (H),Hava,Hava,Fas,0,4,0,0
2004,OCAK,Adana,Şakirpaşa (H),Hava,Hava,Filipinler,0,3,0,0
2004,OCAK,Adana,Şakirpaşa (H),Hava,Hava,Filistin,0,1,0,0
2004,OCAK,Adana,Şakirpaşa (H),Hava,Hava,Finlandiya,0,2,0,0
2004,OCAK,Adana,Şakirpaşa (H),Hava,Hava,Fransa,0,154,0,0
