Yıl,Ay,Şehir,Sınır Kapısı,Sınır Kapısı Tipi,Araç Tipi,Milliyet,Gelen Vatandaş Turist,Gelen Yabancı Turist,Günübirlikçi Vatandaş,Günübirlikçi Yabancı
2010,OCAK,Adana,Botaş (D),Deniz,Deniz,Azerbaycan,0,4,0,0
2010,OCAK,Adana,Botaş (D),Deniz,Deniz,Bulgaristan,0,0,0,0
2010,OCAK,Adana,Botaş (D),Deniz,Deniz,Çin Halk Cumhuriyeti,0,1,0,0
2010,OCAK,Adana,Botaş (D),Deniz,Deniz,Filipinler,0,9,0,0
2010,OCAK,Adana,Botaş (D),Deniz,Deniz,Hırvatistan,0,1,0,0
2010,OCAK,Adana,Botaş (D),Deniz,Deniz,İngiltere (Birleşik Krallık),0,13,0,0
2010,OCAK,Adana,Botaş (D),Deniz,Deniz,İsviçre,0,6,0,0
2010,OCAK,Adana,Botaş (D),Deniz,Deniz,Letonya,0,1,0,0
2010,OCAK,Adana,Botaş (D),Deniz,Deniz,Pakistan,0,1,0,0
2010,OCAK,Adana,Botaş (D),Deniz,Deniz,Polonya,0,0,0,0
2010,OCAK,Adana,Botaş (D),Deniz,Deniz,Romanya,0,1,0,0
2010,OCAK,Adana,Botaş (D),Deniz,Deniz,Rusya Fed.,0,33,0,0
2010,OCAK,Adana,Botaş (D),Deniz,Deniz,Singapur,0,0,0,0
2010,OCAK,Adana,Botaş (D),Deniz,Deniz,Surinam,0,14,0,0
2010,OCAK,Adana,Botaş (D),Deniz,Deniz,Şili,0,0,0,0
2010,OCAK,Adana,Botaş (D),Deniz,Deniz,Türkiye,96,0,0,0
2010,OCAK,Adana,Botaş (D),Deniz,Deniz,Uganda,0,11,0,0
2010,OCAK,Adana,Botaş (D),Deniz,Deniz,Yunanistan,0,3,0,0
2010,OCAK,Adana,Şakirpaşa (H),Hava,Hava,Almanya,0,1331,0,0
2010,OCAK,Adana,Şakirpaşa (H),Hava,Hava,Amerika Birleşik Devletleri,0,27,0,0
2010,OCAK,Adana,Şakirpaşa (H),Hava,Hava,Arnavutluk,0,1,0,0
2010,OCAK,Adana,Şakirpaşa (H),Hava,Hava,Avustralya,0,5,0,0
2010,OCAK,Adana,Şakirpaşa (H),Hava,Hava,Avusturya,0,5,0,0
