Yıl,Ay,Şehir,Sınır Kapısı,Sınır Kapısı Tipi,Araç Tipi,Milliyet,Gelen Vatandaş Turist,Gelen Yabancı Turist,Günübirlikçi Vatandaş,Günübirlikçi Yabancı
2007,OCAK,Adana,Botaş (D),Deniz,Deniz,Bulgaristan,0,7,0,0
2007,OCAK,Adana,Botaş (D),Deniz,Deniz,Filipinler,0,13,0,0
2007,OCAK,Adana,Botaş (D),Deniz,Deniz,Hırvatistan,0,2,0,0
2007,OCAK,Adana,Botaş (D),Deniz,Deniz,İran,0,10,0,0
2007,OCAK,Adana,Botaş (D),Deniz,Deniz,Polonya,0,2,0,0
2007,OCAK,Adana,Botaş (D),Deniz,Deniz,Türkiye,119,0,0,0
2007,OCAK,Adana,Botaş (D),Deniz,Deniz,Ukrayna,0,0,0,0
2007,OCAK,Adana,Botaş (D),Deniz,Deniz,Yunanistan,0,2,0,0
2007,OCAK,Adana,İncirlik (H),Hava,Hava,Almanya,0,2,0,0
2007,OCAK,Adana,İncirlik (H),Hava,Hava,Amerika Birleşik Devletleri,0,2285,0,0
2007,OCAK,Adana,İncirlik (H),Hava,Hava,Brezilya,0,0,0,0
2007,OCAK,Adana,İncirlik (H),Hava,Hava,Filipinler,0,0,0,0
2007,OCAK,Adana,İncirlik (H),Hava,Hava,Guatemala,0,1,0,0
2007,OCAK,Adana,İncirlik (H),Hava,Hava,Güney Kore,0,1,0,0
2007,OCAK,Adana,İncirlik (H),Hava,Hava,İngiltere (Birleşik Krallık),0,128,0,0
2007,OCAK,Adana,İncirlik (H),Hava,Hava,İspanya,0,0,0,0
2007,OCAK,Adana,İncirlik (H),Hava,Hava,İtalya,0,0,0,0
2007,OCAK,Adana,İncirlik (H),Hava,Hava,Nikaragua,0,0,0,0
2007,OCAK,Adana,İncirlik (H),Hava,Hava,Norveç,0,0,0,0
2007,OCAK,Adana,İncirlik (H),Hava,Hava,Rusya Fed.,0,1,0,0
2007,OCAK,Adana,İncirlik (H),Hava,Hava,Türkiye,0,0,0,0
2007,OCAK,Adana,Şakirpaşa (H),Hava,Hava,Afganistan,0,0,0,0
2007,OCAK,Adana,Şakirpaşa (H),Hava,Hava,Almanya,0,1684,0,0
2007,OCAK,Adana,Şakirpaşa (H),Hava,Hava,Amerika Birleşik Devletleri,0,382,0,0
2007,OCAK,Adana,Şakirpaşa (H),Hava,Hava,Arnavutluk,0,0,0,0
2007,OCAK,Adana,Şakirpaşa (H),Hava,Hava,Avustralya,0,10,0,0
2007,OCAK,Adana,Şakirpaşa (H),Hava,Hava,Avusturya,0,12,0,0
2007,OCAK,Adana,Şakirpaşa (H),Hava,Hava,Bangladeş,0,2,0,0
2007,OCAK,Adana,Şakirpaşa (H),Hava,Hava,Belçika,0,56,0,0
2007,OCAK,Adana,Şakirpaşa (H),Hava,Hava,Beyaz Rusya (Belarus),0,3,0,0
2007,OCAK,Adana,Şakirpaşa (H),Hava,Hava,Birleşmiş Milletler,0,3,0,0
2007,OCAK,Adana,Şakirpaşa (H),Hava,Hava,Bulgaristan,0,7,0,0
2007,OCAK,Adana,Şakirpaşa (H),Hava,Hava,Çek Cumhuriyeti (Çekya),0,0,0,0
2007,OCAK,Adana,Şakirpaşa (H),Hava,Hava,Çin Halk Cumhuriyeti,0,9,0,0
2007,OCAK,Adana,Şakirpaşa (H),Hava,Hava,Danimarka,0,5,0,0
2007,OCAK,Adana,Şakirpaşa (H),Hava,Hava,Fas,0,5,0,0
2007,OCAK,Adana,Şakirpaşa (H),Hava,Hava,Filipinler,0,1,0,0
2007,OCAK,Adana,Şakirpaşa (H),Hava,Hava,Fransa,0,24,0,0
2007,OCAK,Adana,Şakirpaşa (H),Hava,Hava,Güney Kıbrıs Rum Kesimi,0,3,0,0
2007,OCAK,Adana,Şakirpaşa (H),Hava,Hava,Güney Kore,0,1,0,0
2007,OCAK,Adana,Şakirpaşa (H),Hava,Hava,Gürcistan,0,2,0,0
2007,OCAK,Adana,Şakirpaşa (H),Hava,Hava,Hindistan,0,5,0,0
2007,OCAK,Adana,Şakirpaşa (H),Hava,Hava,Hollanda,0,198,0,0
2007,OCAK,Adana,Şakirpaşa (H),Hava,Hava,Irak,0,25,0,0
2007,OCAK,Adana,Şakirpaşa (H),Hava,Hava,İngiltere (Birleşik Krallık),0,63,0,0
2007,OCAK,Adana,Şakirpaşa (H),Hava,Hava,İran,0,3,0,0
2007,OCAK,Adana,Şakirpaşa (H),Hava,Hava,İrlanda,0,0,0,0
2007,OCAK,Adana,Şakirpaşa (H),Hava,Hava,İsrail,0,0,0,0
2007,OCAK,Adana,Şakirpaşa (H),Hava,Hava,İsveç,0,2,0,0
2007,OCAK,Adana,Şakirpaşa (H),Hava,Hava,İsviçre,0,2,0,0
2007,OCAK,Adana,Şakirpaşa (H),Hava,Hava,İtalya,0,3,0,0
2007,OCAK,Adana,Şakirpaşa (H),Hava,Hava,Japonya,0,3,0,0
2007,OCAK,Adana,Şakirpaşa (H),Hava,Hava,Kanada,0,13,0,0
2007,OCAK,Adana,Şakirpaşa (H),Hava,Hava,Kazakistan,0,1,0,0
2007,OCAK,Adana,Şakirpaşa (H),Hava,Hava,Kırgızistan,0,25,0,0
2007,OCAK,Adana,Şakirpaşa (H),Hava,Hava,Kuzey Kıbrıs Türk Cumhuriyeti,0,1046,0,0
2007,OCAK,Adana,Şakirpaşa (H),Hava,Hava,Kuzey Makedonya Cumhuriyeti,0,9,0,0
2007,OCAK,Adana,Şakirpaşa (H),Hava,Hava,Letonya,0,0,0,0
2007,OCAK,Adana,Şakirpaşa (H),Hava,Hava,Libya,0,1,0,0
2007,OCAK,Adana,Şakirpaşa (H),Hava,Hava,Litvanya,0,17,0,0
2007,OCAK,Adana,Şakirpaşa (H),Hava,Hava,Lübnan,0,11,0,0
2007,OCAK,Adana,Şakirpaşa (H),Hava,Hava,Malezya,0,0,0,0
2007,OCAK,Adana,Şakirpaşa (H),Hava,Hava,Mısır,0,2,0,0
2007,OCAK,Adana,Şakirpaşa (H),Hava,Hava,Milliyetsiz (Haymatlos),0,18,0,0
2007,OCAK,Adana,Şakirpaşa (H),Hava,Hava,Moldova,0,9,0,0
2007,OCAK,Adana,Şakirpaşa (H),Hava,Hava,Norveç,0,4,0,0
2007,OCAK,Adana,Şakirpaşa (H),Hava,Hava,Pakistan,0,0,0,0
2007,OCAK,Adana,Şakirpaşa (H),Hava,Hava,Polonya,0,4,0,0
2007,OCAK,Adana,Şakirpaşa (H),Hava,Hava,Portekiz,0,0,0,0
2007,OCAK,Adana,Şakirpaşa (H),Hava,Hava,Romanya,0,1,0,0
2007,OCAK,Adana,Şakirpaşa (H),Hava,Hava,Rusya Fed.,0,60,0,0
2007,OCAK,Adana,Şakirpaşa (H),Hava,Hava,Somali,0,1,0,0
2007,OCAK,Adana,Şakirpaşa (H),Hava,Hava,Suriye,0,33,0,0
2007,OCAK,Adana,Şakirpaşa (H),Hava,Hava,Suudi Arabistan,0,4,0,0
2007,OCAK,Adana,Şakirpaşa (H),Hava,Hava,Tayland,0,1,0,0
2007,OCAK,Adana,Şakirpaşa (H),Hava,Hava,Tunus,0,1,0,0
2007,OCAK,Adana,Şakirpaşa (H),Hava,Hava,Türkiye,29641,0,0,0
2007,OCAK,Adana,Şakirpaşa (H),Hava,Hava,Ukrayna,0,1,0,0
2007,OCAK,Adana,Şakirpaşa (H),Hava,Hava,Ürdün,0,155,0,0
2007,OCAK,Adana,Şakirpaşa (H),Hava,Hava,Yemen,0,0,0,0
2007,OCAK,Adana,Şakirpaşa (H),Hava,Hava,Yeni Zelanda,0,1,0,0
2007,OCAK,Adana,Şakirpaşa (H),Hava,Hava,Yunanistan,0,10,0,0
