Yıl,Ay,Şehir,Sınır Kapısı,Sınır Kapısı Tipi,Araç Tipi,Milliyet,Gelen Vatandaş Turist,Gelen Yabancı Turist,Günübirlikçi Vatandaş,Günübirlikçi Yabancı
2005,OCAK,Adana,Botaş (D),Deniz,Deniz,Danimarka,0,4,0,0
2005,OCAK,Adana,Botaş (D),Deniz,Deniz,Endonezya,0,1,0,0
2005,OCAK,Adana,Botaş (D),Deniz,Deniz,Filipinler,0,19,0,0
2005,OCAK,Adana,Botaş (D),Deniz,Deniz,İtalya,0,0,0,0
2005,OCAK,Adana,Botaş (D),Deniz,Deniz,Letonya,0,1,0,0
2005,OCAK,Adana,Botaş (D),Deniz,Deniz,Norveç,0,5,0,0
2005,OCAK,Adana,Botaş (D),Deniz,Deniz,Peru,0,1,0,0
2005,OCAK,Adana,Botaş (D),Deniz,Deniz,Polonya,0,0,0,0
2005,OCAK,Adana,Botaş (D),Deniz,Deniz,Rusya Fed.,0,1,0,0
2005,OCAK,Adana,Botaş (D),Deniz,Deniz,Suriye,0,0,0,0
2005,OCAK,Adana,Botaş (D),Deniz,Deniz,Türkiye,190,0,0,0
2005,OCAK,Adana,Botaş (D),Deniz,Deniz,Ukrayna,0,10,0,0
2005,OCAK,Adana,Botaş (D),Deniz,Deniz,Yunanistan,0,1,0,0
2005,OCAK,Adana,İncirlik (H),Hava,Hava,Almanya,0,2,0,0
2005,OCAK,Adana,İncirlik (H),Hava,Hava,Amerika Birleşik Devletleri,0,1231,0,0
2005,OCAK,Adana,İncirlik (H),Hava,Hava,Filipinler,0,3,0,0
2005,OCAK,Adana,İncirlik (H),Hava,Hava,İtalya,0,0,0,0
2005,OCAK,Adana,İncirlik (H),Hava,Hava,İzlanda,0,0,0,0
2005,OCAK,Adana,İncirlik (H),Hava,Hava,Türkiye,2,0,0,0
2005,OCAK,Adana,Şakirpaşa (H),Hava,Hava,Afganistan,0,0,0,0
2005,OCAK,Adana,Şakirpaşa (H),Hava,Hava,Almanya,0,2821,0,0
2005,OCAK,Adana,Şakirpaşa (H),Hava,Hava,Amerika Birleşik Devletleri,0,366,0,0
2005,OCAK,Adana,Şakirpaşa (H),Hava,Hava,Arnavutluk,0,0,0,0
2005,OCAK,Adana,Şakirpaşa (H),Hava,Hava,Avustralya,0,67,0,0
2005,OCAK,Adana,Şakirpaşa (H),Hava,Hava,Avusturya,0,183,0,0
2005,OCAK,Adana,Şakirpaşa (H),Hava,Hava,Azerbaycan,0,11,0,0
2005,OCAK,Adana,Şakirpaşa (H),Hava,Hava,Bahreyn,0,1,0,0
2005,OCAK,Adana,Şakirpaşa (H),Hava,Hava,Belçika,0,89,0,0
2005,OCAK,Adana,Şakirpaşa (H),Hava,Hava,Beyaz Rusya (Belarus),0,1,0,0
2005,OCAK,Adana,Şakirpaşa (H),Hava,Hava,Bosna Hersek,0,3,0,0
2005,OCAK,Adana,Şakirpaşa (H),Hava,Hava,Bulgaristan,0,6,0,0
2005,OCAK,Adana,Şakirpaşa (H),Hava,Hava,Burkina Faso,0,0,0,0
2005,OCAK,Adana,Şakirpaşa (H),Hava,Hava,Cezayir,0,1,0,0
2005,OCAK,Adana,Şakirpaşa (H),Hava,Hava,Çek Cumhuriyeti (Çekya),0,9,0,0
2005,OCAK,Adana,Şakirpaşa (H),Hava,Hava,Çin Halk Cumhuriyeti,0,10,0,0
2005,OCAK,Adana,Şakirpaşa (H),Hava,Hava,Danimarka,0,20,0,0
2005,OCAK,Adana,Şakirpaşa (H),Hava,Hava,Endonezya,0,1,0,0
2005,OCAK,Adana,Şakirpaşa (H),Hava,Hava,Ermenistan,0,1,0,0
2005,OCAK,Adana,Şakirpaşa (H),Hava,Hava,Fas,0,1,0,0
2005,OCAK,Adana,Şakirpaşa (H),Hava,Hava,Filipinler,0,22,0,0
2005,OCAK,Adana,Şakirpaşa (H),Hava,Hava,Filistin,0,0,0,0
2005,OCAK,Adana,Şakirpaşa (H),Hava,Hava,Finlandiya,0,0,0,0
2005,OCAK,Adana,Şakirpaşa (H),Hava,Hava,Fransa,0,122,0,0
2005,OCAK,Adana,Şakirpaşa (H),Hava,Hava,Gürcistan,0,4,0,0
2005,OCAK,Adana,Şakirpaşa (H),Hava,Hava,Hırvatistan,0,2,0,0
2005,OCAK,Adana,Şakirpaşa (H),Hava,Hava,Hindistan,0,5,0,0
2005,OCAK,Adana,Şakirpaşa (H),Hava,Hava,Hollanda,0,373,0,0
2005,OCAK,Adana,Şakirpaşa (H),Hava,Hava,Irak,0,68,0,0
