Yıl,Ay,Şehir,Sınır Kapısı,Sınır Kapısı Tipi,Araç Tipi,Milliyet,Gelen Vatandaş Turist,Gelen Yabancı Turist,Günübirlikçi Vatandaş,Günübirlikçi Yabancı
2002,OCAK,Adana,Botaş (D),Deniz,Deniz,Almanya,0,0,0,0
2002,OCAK,Adana,Botaş (D),Deniz,Deniz,Bangladeş,0,0,0,3
2002,OCAK,Adana,Botaş (D),Deniz,Deniz,Belçika,0,1,0,0
2002,OCAK,Adana,Botaş (D),Deniz,Deniz,Bulgaristan,0,5,0,0
2002,OCAK,Adana,Botaş (D),Deniz,Deniz,Çin Halk Cumhuriyeti,0,3,0,12
2002,OCAK,Adana,Botaş (D),Deniz,Deniz,Filipinler,0,23,0,5
2002,OCAK,Adana,Botaş (D),Deniz,Deniz,Fransa,0,2,0,0
2002,OCAK,Adana,Botaş (D),Deniz,Deniz,Gana,0,0,0,1
2002,OCAK,Adana,Botaş (D),Deniz,Deniz,Hırvatistan,0,2,0,0
2002,OCAK,Adana,Botaş (D),Deniz,Deniz,Hindistan,0,2,0,1
2002,OCAK,Adana,Botaş (D),Deniz,Deniz,İran,0,0,0,17
2002,OCAK,Adana,Botaş (D),Deniz,Deniz,İspanya,0,1,0,0
2002,OCAK,Adana,Botaş (D),Deniz,Deniz,Nijerya,0,0,0,1
2002,OCAK,Adana,Botaş (D),Deniz,Deniz,Pakistan,0,0,0,1
2002,OCAK,Adana,Botaş (D),Deniz,Deniz,Peru,0,0,0,0
2002,OCAK,Adana,Botaş (D),Deniz,Deniz,Polonya,0,1,0,0
2002,OCAK,Adana,Botaş (D),Deniz,Deniz,Romanya,0,6,0,0
2002,OCAK,Adana,Botaş (D),Deniz,Deniz,Rusya Fed.,0,12,0,7
2002,OCAK,Adana,Botaş (D),Deniz,Deniz,Singapur,0,1,0,0
2002,OCAK,Adana,Botaş (D),Deniz,Deniz,Türkiye,61,0,0,0
2002,OCAK,Adana,Botaş (D),Deniz,Deniz,Ukrayna,0,1,0,0
2002,OCAK,Adana,İncirlik (H),Hava,Hava,Amerika Birleşik Devletleri,0,2249,0,0
2002,OCAK,Adana,İncirlik (H),Hava,Hava,Danimarka,0,1,0,0
2002,OCAK,Adana,İncirlik (H),Hava,Hava,İngiltere (Birleşik Krallık),0,56,0,0
2002,OCAK,Adana,İncirlik (H),Hava,Hava,İrlanda,0,1,0,0
2002,OCAK,Adana,İncirlik (H),Hava,Hava,İtalya,0,1,0,0
2002,OCAK,Adana,İncirlik (H),Hava,Hava,Türkiye,2,0,0,0
2002,OCAK,Adana,Şakirpaşa (H),Hava,Hava,Afganistan,0,1,0,0
2002,OCAK,Adana,Şakirpaşa (H),Hava,Hava,Almanya,0,635,0,0
2002,OCAK,Adana,Şakirpaşa (H),Hava,Hava,Amerika Birleşik Devletleri,0,105,0,0
2002,OCAK,Adana,Şakirpaşa (H),Hava,Hava,Arnavutluk,0,3,0,0
2002,OCAK,Adana,Şakirpaşa (H),Hava,Hava,Avustralya,0,18,0,0
2002,OCAK,Adana,Şakirpaşa (H),Hava,Hava,Avusturya,0,27,0,0
2002,OCAK,Adana,Şakirpaşa (H),Hava,Hava,Azerbaycan,0,1,0,0
2002,OCAK,Adana,Şakirpaşa (H),Hava,Hava,Bahreyn,0,1,0,0
2002,OCAK,Adana,Şakirpaşa (H),Hava,Hava,Belçika,0,7,0,0
2002,OCAK,Adana,Şakirpaşa (H),Hava,Hava,Birleşik Arap Emirlikleri,0,1,0,0
2002,OCAK,Adana,Şakirpaşa (H),Hava,Hava,Bulgaristan,0,8,0,0
2002,OCAK,Adana,Şakirpaşa (H),Hava,Hava,Cezayir,0,0,0,0
2002,OCAK,Adana,Şakirpaşa (H),Hava,Hava,Çek Cumhuriyeti (Çekya),0,9,0,0
2002,OCAK,Adana,Şakirpaşa (H),Hava,Hava,Danimarka,0,7,0,0
2002,OCAK,Adana,Şakirpaşa (H),Hava,Hava,Fas,0,3,0,0
2002,OCAK,Adana,Şakirpaşa (H),Hava,Hava,Fildişi Sahilleri (Cote d’Ivoire),0,3,0,0
2002,OCAK,Adana,Şakirpaşa (H),Hava,Hava,Filipinler,0,0,0,0
2002,OCAK,Adana,Şakirpaşa (H),Hava,Hava,Fransa,0,54,0,0
2002,OCAK,Adana,Şakirpaşa (H),Hava,Hava,Güney Afrika Cumhuriyeti,0,4,0,0
2002,OCAK,Adana,Şakirpaşa (H),Hava,Hava,Güney Kore,0,23,0,0
2002,OCAK,Adana,Şakirpaşa (H),Hava,Hava,Hırvatistan,0,2,0,0
2002,OCAK,Adana,Şakirpaşa (H),Hava,Hava,Hindistan,0,0,0,0
2002,OCAK,Adana,Şakirpaşa (H),Hava,Hava,Hollanda,0,81,0,0
2002,OCAK,Adana,Şakirpaşa (H),Hava,Hava,Irak,0,10,0,0
2002,OCAK,Adana,Şakirpaşa (H),Hava,Hava,İngiltere (Birleşik Krallık),0,90,0,0
2002,OCAK,Adana,Şakirpaşa (H),Hava,Hava,İran,0,9,0,0
2002,OCAK,Adana,Şakirpaşa (H),Hava,Hava,İrlanda,0,1,0,0
2002,OCAK,Adana,Şakirpaşa (H),Hava,Hava,İspanya,0,0,0,0
2002,OCAK,Adana,Şakirpaşa (H),Hava,Hava,İsrail,0,22,0,0
2002,OCAK,Adana,Şakirpaşa (H),Hava,Hava,İsveç,0,23,0,0
2002,OCAK,Adana,Şakirpaşa (H),Hava,Hava,İsviçre,0,11,0,0
2002,OCAK,Adana,Şakirpaşa (H),Hava,Hava,İtalya,0,28,0,0
2002,OCAK,Adana,Şakirpaşa (H),Hava,Hava,Japonya,0,1,0,0
2002,OCAK,Adana,Şakirpaşa (H),Hava,Hava,Kanada,0,2,0,0
2002,OCAK,Adana,Şakirpaşa (H),Hava,Hava,Kırgızistan,0,2,0,0
2002,OCAK,Adana,Şakirpaşa (H),Hava,Hava,Kuveyt,0,2,0,0
2002,OCAK,Adana,Şakirpaşa (H),Hava,Hava,Kuzey Kıbrıs Türk Cumhuriyeti,0,160,0,0
2002,OCAK,Adana,Şakirpaşa (H),Hava,Hava,Kuzey Makedonya Cumhuriyeti,0,0,0,0
2002,OCAK,Adana,Şakirpaşa (H),Hava,Hava,Letonya,0,9,0,0
2002,OCAK,Adana,Şakirpaşa (H),Hava,Hava,Libya,0,1,0,0
2002,OCAK,Adana,Şakirpaşa (H),Hava,Hava,Litvanya,0,1,0,0
2002,OCAK,Adana,Şakirpaşa (H),Hava,Hava,Lübnan,0,4,0,0
2002,OCAK,Adana,Şakirpaşa (H),Hava,Hava,Macaristan,0,1,0,0
2002,OCAK,Adana,Şakirpaşa (H),Hava,Hava,Malezya,0,0,0,0
2002,OCAK,Adana,Şakirpaşa (H),Hava,Hava,Mısır,0,3,0,0
2002,OCAK,Adana,Şakirpaşa (H),Hava,Hava,Milliyetsiz (Haymatlos),0,0,0,0
2002,OCAK,Adana,Şakirpaşa (H),Hava,Hava,Moldova,0,2,0,0
2002,OCAK,Adana,Şakirpaşa (H),Hava,Hava,Nijerya,0,1,0,0
2002,OCAK,Adana,Şakirpaşa (H),Hava,Hava,Norveç,0,1,0,0
2002,OCAK,Adana,Şakirpaşa (H),Hava,Hava,Panama,0,1,0,0
2002,OCAK,Adana,Şakirpaşa (H),Hava,Hava,Polonya,0,6,0,0
2002,OCAK,Adana,Şakirpaşa (H),Hava,Hava,Portekiz,0,1,0,0
2002,OCAK,Adana,Şakirpaşa (H),Hava,Hava,Romanya,0,8,0,0
2002,OCAK,Adana,Şakirpaşa (H),Hava,Hava,Rusya Fed.,0,13,0,0
2002,OCAK,Adana,Şakirpaşa (H),Hava,Hava,Sırbistan,0,1,0,0
2002,OCAK,Adana,Şakirpaşa (H),Hava,Hava,Sierra Leone,0,1,0,0
2002,OCAK,Adana,Şakirpaşa (H),Hava,Hava,Slovenya,0,1,0,0
2002,OCAK,Adana,Şakirpaşa (H),Hava,Hava,Sudan,0,1,0,0
2002,OCAK,Adana,Şakirpaşa (H),Hava,Hava,Suriye,0,9,0,0
2002,OCAK,Adana,Şakirpaşa (H),Hava,Hava,Suudi Arabistan,0,12,0,0
2002,OCAK,Adana,Şakirpaşa (H),Hava,Hava,Şili,0,3,0,0
2002,OCAK,Adana,Şakirpaşa (H),Hava,Hava,Türkiye,3401,0,0,0
