Yıl,Ay,Şehir,Sınır Kapısı,Sınır Kapısı Tipi,Araç Tipi,Milliyet,Gelen Vatandaş Turist,Gelen Yabancı Turist,Günübirlikçi Vatandaş,Günübirlikçi Yabancı
2003,OCAK,Adana,Botaş (D),Deniz,Deniz,Amerika Birleşik Devletleri,0,0,0,0
2003,OCAK,Adana,Botaş (D),Deniz,Deniz,Azerbaycan,0,1,0,0
2003,OCAK,Adana,Botaş (D),Deniz,Deniz,Filipinler,0,5,0,0
2003,OCAK,Adana,Botaş (D),Deniz,Deniz,Hindistan,0,6,0,0
2003,OCAK,Adana,Botaş (D),Deniz,Deniz,İran,0,11,0,0
2003,OCAK,Adana,Botaş (D),Deniz,Deniz,Litvanya,0,2,0,0
2003,OCAK,Adana,Botaş (D),Deniz,Deniz,Polonya,0,3,0,0
2003,OCAK,Adana,Botaş (D),Deniz,Deniz,Portekiz,0,1,0,0
2003,OCAK,Adana,Botaş (D),Deniz,Deniz,Romanya,0,4,0,0
2003,OCAK,Adana,Botaş (D),Deniz,Deniz,Rusya Fed.,0,17,0,0
2003,OCAK,Adana,Botaş (D),Deniz,Deniz,Türkiye,104,0,0,0
2003,OCAK,Adana,Botaş (D),Deniz,Deniz,Ukrayna,0,2,0,0
2003,OCAK,Adana,İncirlik (H),Hava,Hava,Almanya,0,2,0,0
2003,OCAK,Adana,İncirlik (H),Hava,Hava,Amerika Birleşik Devletleri,0,3760,0,0
2003,OCAK,Adana,İncirlik (H),Hava,Hava,Avustralya,0,1,0,0
2003,OCAK,Adana,İncirlik (H),Hava,Hava,İngiltere (Birleşik Krallık),0,204,0,0
2003,OCAK,Adana,İncirlik (H),Hava,Hava,İran,0,1,0,0
2003,OCAK,Adana,İncirlik (H),Hava,Hava,İspanya,0,3,0,0
2003,OCAK,Adana,İncirlik (H),Hava,Hava,İzlanda,0,1,0,0
2003,OCAK,Adana,İncirlik (H),Hava,Hava,Türkiye,8,0,0,0
2003,OCAK,Adana,Şakirpaşa (H),Hava,Hava,Almanya,0,597,0,0
2003,OCAK,Adana,Şakirpaşa (H),Hava,Hava,Amerika Birleşik Devletleri,0,44,0,0
2003,OCAK,Adana,Şakirpaşa (H),Hava,Hava,Avustralya,0,1,0,0
2003,OCAK,Adana,Şakirpaşa (H),Hava,Hava,Avusturya,0,1,0,0
2003,OCAK,Adana,Şakirpaşa (H),Hava,Hava,Bahreyn,0,0,0,0
2003,OCAK,Adana,Şakirpaşa (H),Hava,Hava,Belçika,0,4,0,0
2003,OCAK,Adana,Şakirpaşa (H),Hava,Hava,Bosna Hersek,0,2,0,0
2003,OCAK,Adana,Şakirpaşa (H),Hava,Hava,Brezilya,0,0,0,0
2003,OCAK,Adana,Şakirpaşa (H),Hava,Hava,Bulgaristan,0,0,0,0
2003,OCAK,Adana,Şakirpaşa (H),Hava,Hava,Çek Cumhuriyeti (Çekya),0,0,0,0
2003,OCAK,Adana,Şakirpaşa (H),Hava,Hava,Çin Halk Cumhuriyeti,0,0,0,0
2003,OCAK,Adana,Şakirpaşa (H),Hava,Hava,Danimarka,0,5,0,0
2003,OCAK,Adana,Şakirpaşa (H),Hava,Hava,Estonya,0,0,0,0
2003,OCAK,Adana,Şakirpaşa (H),Hava,Hava,Filipinler,0,0,0,0
2003,OCAK,Adana,Şakirpaşa (H),Hava,Hava,Filistin,0,0,0,0
2003,OCAK,Adana,Şakirpaşa (H),Hava,Hava,Finlandiya,0,0,0,0
2003,OCAK,Adana,Şakirpaşa (H),Hava,Hava,Fransa,0,6,0,0
2003,OCAK,Adana,Şakirpaşa (H),Hava,Hava,Gine,0,0,0,0
2003,OCAK,Adana,Şakirpaşa (H),Hava,Hava,Güney Afrika Cumhuriyeti,0,0,0,0
2003,OCAK,Adana,Şakirpaşa (H),Hava,Hava,Güney Kore,0,0,0,0
2003,OCAK,Adana,Şakirpaşa (H),Hava,Hava,Gürcistan,0,0,0,0
2003,OCAK,Adana,Şakirpaşa (H),Hava,Hava,Hırvatistan,0,0,0,0
2003,OCAK,Adana,Şakirpaşa (H),Hava,Hava,Hollanda,0,30,0,0
2003,OCAK,Adana,Şakirpaşa (H),Hava,Hava,Irak,0,3,0,0
2003,OCAK,Adana,Şakirpaşa (H),Hava,Hava,İngiltere (Birleşik Krallık),0,11,0,0
2003,OCAK,Adana,Şakirpaşa (H),Hava,Hava,İran,0,3,0,0
2003,OCAK,Adana,Şakirpaşa (H),Hava,Hava,İrlanda,0,0,0,0
2003,OCAK,Adana,Şakirpaşa (H),Hava,Hava,İspanya,0,0,0,0
2003,OCAK,Adana,Şakirpaşa (H),Hava,Hava,İsrail,0,0,0,0
2003,OCAK,Adana,Şakirpaşa (H),Hava,Hava,İsveç,0,0,0,0
2003,OCAK,Adana,Şakirpaşa (H),Hava,Hava,İsviçre,0,0,0,0
2003,OCAK,Adana,Şakirpaşa (H),Hava,Hava,İtalya,0,5,0,0
2003,OCAK,Adana,Şakirpaşa (H),Hava,Hava,Japonya,0,0,0,0
2003,OCAK,Adana,Şakirpaşa (H),Hava,Hava,Kamerun,0,0,0,0
2003,OCAK,Adana,Şakirpaşa (H),Hava,Hava,Kanada,0,0,0,0
2003,OCAK,Adana,Şakirpaşa (H),Hava,Hava,Kırgızistan,0,0,0,0
2003,OCAK,Adana,Şakirpaşa (H),Hava,Hava,Kuzey Kıbrıs Türk Cumhuriyeti,0,189,0,0
2003,OCAK,Adana,Şakirpaşa (H),Hava,Hava,Lihtenştayn,0,0,0,0
2003,OCAK,Adana,Şakirpaşa (H),Hava,Hava,Lübnan,0,3,0,0
2003,OCAK,Adana,Şakirpaşa (H),Hava,Hava,Mısır,0,0,0,0
2003,OCAK,Adana,Şakirpaşa (H),Hava,Hava,Milliyetsiz (Haymatlos),0,3,0,0
